Country.,Contract.Phase.,Recode.Structure.,Implementing.Organization.,BeginDate,EndDate,Status.,Birth.registration,Calendar,Cooking.fuel,Domestic.violence,Fieldworker.characteristics,Fistula,GPS.georeferenced,HIV.behavior,HIV.knowledge,Iodine.salt.test,Malaria.bednet.inventory..Includes.bednet.inventory,Male.circumcision.self.reported,Maternal.mortality,Men.s.survey,Micronutrients,Paper.survey,Social.marketing,Tobacco.use,Tuberculosis.questions,Vitamin.A.questions,Women.s.status,dhs_cc,dhs_recode_code,survey_id,Abortion,Alcohol.consumption,Causes.of.death,Health.expenditures,Migration,Out.of.pocket.health.expenditures,Pregnancy.history,Prenatal.care...folic.acid,Verbal.autopsy,Anemia.testing,Anthropometry,Blood.pressure..measure.,Blood.pressure.questions,CAPI.survey,Child.discipline,Child.labor,Diabetes.questions,Disability,Early.childhood.education,Health.insurance,Vaccinations.from.health.facilities,Non.communicable.diseases,Anemia.questions,HIV.testing,HIV.testing.includes.confirmation,Malaria...RDT,Malaria...Microscopy,Breast.cancer.screening,Cervical.cancer.screening,Prostate.cancer.screening,CAFÉ.survey,Service.availability,Diabetes.testing,Arsenic...water.test,Husband.s.survey,Early.childhood.development,Female.genital.cutting,OVC,Arm.circumference,Asthma,Basic.material.needs,Youth,Hepatitis.B.testing,Hepatitis.C.testing,Avian.influenza.knowledge,HIV.testing...children,Lead.testing,HIV.incidence,HIV.viral.load,E..coli...water.test,Measles.testing,Syphilis.testing,Tetanus.testing,HIV.CD4.count,Chlorine...water.test,Urine.iodine.excretion,Iron.transferrin.receptor..related.to.anemia.testing,Vitamin.A.testing,Herpes.simplex.virus...HSV.2.,Human.trafficking,Chlamydia.testing,Lipids.testing,dayslength,middate,BeginYear,EndYear,surveyyr,WealthIndex
Afghanistan,DHS-VII,DHS-VII,Central Statistics Organization (CSO) and Ministry of Public Health (MoPH),2015-06-01,2016-02-01,Completed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AF,70,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,2015-10-01,2015,2016,2016,1
Afghanistan,DHS-VI,NA,Indian Institute for Health Management Research (IIHMR),2010-04-01,2010-12-01,Completed,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,AF,66,348,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,2010-08-01,2010,2010,2010,1
Albania,DHS-VII,DHS-VII,The National Statistical Institute (INSAT),2017-09-01,2017-12-01,Completed,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,1,NA,1,AL,71,525,NA,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,2017-10-17,2017,2017,2017,1
Albania,DHS-V,DHS-V,Institute of Statistics (INSTAT) and Institute of Public Health (IShP),2008-10-01,2009-04-01,Completed,1,1,1,NA,NA,NA,1,1,1,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,AL,50,327,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,2008-12-31,2008,2009,2009,NA
Angola,DHS-VII,DHS-VII,Instituto Nacional de Estatistica (INE),2015-11-01,2016-02-01,Completed,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,AO,71,477,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2015-12-17,2015,2016,2016,1
Angola,DHS-VI,DHS-V,CONSAÚDE and COSEP,2011-01-01,2011-05-01,Completed,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,AO,62,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,2011-03-02,2011,2011,2011,1
Angola,DHS-V,DHS-V,"COSEP, CONSAÚDE",2006-11-01,2007-04-01,Completed,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,AO,51,282,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,2007-01-16,2006,2007,2007,1
Armenia,DHS-VII,DHS-VII,National Statistical Service(NSS)and the Ministry of Health (MOH),2015-12-01,2016-04-01,Completed,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,AM,72,492,1,1,NA,1,1,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,2016-01-31,2015,2016,2016,1
Armenia,DHS-VI,DHS-VI,The National Statistical Service of The Republic of Armenia and the Ministry of Health,2010-10-01,2010-12-01,Completed,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,AM,61,354,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2010-10-31,2010,2010,2010,NA
Armenia,DHS-V,DHS-IV,"National Statistic Service (NSS), MOH Center for Health Information and Statistics (MOH)",2005-09-01,2005-12-01,Completed,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,AM,54,262,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,2005-10-17,2005,2005,2005,1
Armenia,DHS-IV,DHS-IV,National Statistical Service/MOH,2000-10-01,2000-12-01,Completed,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,AM,42,203,1,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2000-10-31,2000,2000,2000,1
Azerbaijan,DHS-V,DHS-V,State Statistical Committee of Azerbaijan,2006-07-01,2006-11-01,Completed,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,AZ,52,279,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,2006-09-01,2006,2006,2006,1
Bangladesh,DHS-VII,NA,"Associates for Community and Population Research (ACPR), National Institute for Population Research and Training (NIPORT)",2014-06-01,2014-09-01,Completed,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2014-07-17,2014,2014,2014,NA
Bangladesh,DHS-VII,DHS-VI,National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka,2014-06-01,2014-11-01,Completed,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,BD,72,461,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2014-08-16,2014,2014,2014,1
Bangladesh,DHS-VI,DHS-VI,National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka,2011-07-01,2011-12-01,Completed,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,1,BD,61,349,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2011-09-15,2011,2011,2011,1
Bangladesh,DHS-V,DHS-V,National Institute for Population Research and Training (NIPORT),2007-03-01,2007-08-01,Completed,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,BD,51,287,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2007-05-16,2007,2007,2007,1
Bangladesh,DHS-IV,DHS-IV,Mitra & Associates,2004-01-01,2004-05-01,Completed,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,BD,4J,236,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,2004-03-01,2004,2004,2004,1
Bangladesh,DHS-IV,NA,Mitra & Associates/ ACPR/ NIPORT,2001-01-01,2001-06-01,Completed,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,BD,4A,137,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,2001-03-18,2001,2001,2001,NA
Bangladesh,DHS-IV,DHS-III,Mitra & Associates / NIPORT,1999-11-01,2000-03-01,Completed,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,BD,41,135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,1999-12-31,1999,2000,2000,1
Bangladesh,DHS-IV,NA,Mitra & Associates/ NIPORT,1999-09-01,1999-12-01,Completed,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1999-10-17,1999,1999,1999,NA
Bangladesh,DHS-III,DHS-III,Mitra & Associates/ NIPORT,1996-11-01,1997-03-01,Completed,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,BD,3A,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1996-12-31,1996,1997,1997,1
Bangladesh,DHS-III,DHS-III,Mitra & Associates/ NIPORT,1993-11-01,1994-03-01,Completed,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,BD,31,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1993-12-31,1993,1994,1994,NA
Benin,DHS-VII,DHS-VII,Institut National de la Statistique et de l’Analyse Économique (INSAE),2017-11-01,2018-02-01,Completed,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,BJ,71,491,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2017-12-17,2017,2018,2018,1
Benin,DHS-VI,DHS-VI,"The Institut National de l’Analyse Économique (INSAE), of the Ministry of Plan",2011-12-01,2012-03-01,Completed,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,1,BJ,61,420,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,2012-01-16,2011,2012,2012,1
Benin,DHS-V,DHS-V,"National Institute of Statistics and Economic Analysis (INSAE) in collaboration with AIDS"" National Program (PNLA) for HIV testing component",2006-08-01,2006-11-01,Completed,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,BJ,51,289,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2006-09-16,2006,2006,2006,1
Benin,DHS-IV,DHS-IV,Institut National de la Statistique et de l'Analyse Economique,2001-08-01,2001-11-01,Completed,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,1,1,BJ,41,211,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2001-09-16,2001,2001,2001,1
Benin,DHS-III,DHS-III,Institute National de la Statistique,1996-06-01,1996-08-01,Completed,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,NA,BJ,31,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1996-07-01,1996,1996,1996,1
Bolivia,DHS-V,DHS-V,"Instituto Nacional de Estadistica, Ministerio de Salud y Deportes, Programa Reforma de Salud e Instituto Nacional de Estadística",2008-02-01,2008-06-01,Completed,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,BO,51,319,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,2008-04-01,2008,2008,2008,1
Bolivia,DHS-IV,DHS-IV,"Instituto Nacional de Estadistica, INE",2003-08-01,2004-01-01,Completed,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,NA,1,NA,1,1,BO,41,238,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2003-10-16,2003,2004,2004,1
