value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
upper secondary(10-11),school,Kazakhstan_MICS5_Datasets,NAN,NAN,NAN,higher,NAN,NAN,NAN,NAN
0,school,Cameroon_MICS5_Datasets,NAN,NAN,NAN,preschool,NAN,NAN,NAN,NAN
0,school,Guinea Bissau_MICS5_Datasets,NAN,NAN,NAN,preschool,NAN,NAN,NAN,NAN
0,school,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,school,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,school,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Algeria_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Argentina_MICS4_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Barbados_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Belarus_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Belize_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Bhutan_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Bosnia and Herzegovina_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Costa Rica_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Cuba_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Djibouti MICS 2006 SPSS Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Iraq_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Jamaica_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Cameroon_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Central African Republic_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Dominican Republic_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,El Salvador_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Guinea Bissau_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Guyana_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Kazakhstan_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Mexico_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
