p20,variable,type,iso3,povcal_year,sex,value,survey_year
TRUE,registration,statistic,ALB,1990,male,0,2017
TRUE,registration,numerator,ALB,1990,male,0,2017
TRUE,registration,denominator,ALB,1990,male,0.168827,2017
TRUE,registration,numerator,ALB,1990,female,0,2017
TRUE,registration,denominator,ALB,1990,female,0,2017
FALSE,registration,statistic,ALB,1990,male,0.988475890671119,2017
FALSE,registration,numerator,ALB,1990,male,1314.408285,2017
FALSE,registration,denominator,ALB,1990,male,1329.732265,2017
FALSE,registration,statistic,ALB,1990,female,0.979656419148465,2017
FALSE,registration,numerator,ALB,1990,female,1270.449329,2017
FALSE,registration,denominator,ALB,1990,female,1296.831526,2017
TRUE,registration,statistic,ALB,1993,male,1,2017
TRUE,registration,numerator,ALB,1993,male,0.168827,2017
TRUE,registration,denominator,ALB,1993,male,0.168827,2017
TRUE,registration,statistic,ALB,1993,female,1,2017
TRUE,registration,numerator,ALB,1993,female,0.168827,2017
TRUE,registration,denominator,ALB,1993,female,0.168827,2017
FALSE,registration,statistic,ALB,1993,male,0.988474427348084,2017
FALSE,registration,numerator,ALB,1993,male,1314.239458,2017
FALSE,registration,denominator,ALB,1993,male,1329.563438,2017
FALSE,registration,statistic,ALB,1993,female,0.979653770390444,2017
FALSE,registration,numerator,ALB,1993,female,1270.280502,2017
FALSE,registration,denominator,ALB,1993,female,1296.662699,2017
TRUE,registration,statistic,ALB,1996,male,1,2017
TRUE,registration,numerator,ALB,1996,male,0.168827,2017
TRUE,registration,denominator,ALB,1996,male,0.168827,2017
TRUE,registration,statistic,ALB,1996,female,1,2017
TRUE,registration,numerator,ALB,1996,female,0.168827,2017
TRUE,registration,denominator,ALB,1996,female,0.168827,2017
FALSE,registration,statistic,ALB,1996,male,0.988474427348084,2017
FALSE,registration,numerator,ALB,1996,male,1314.239458,2017
FALSE,registration,denominator,ALB,1996,male,1329.563438,2017
FALSE,registration,statistic,ALB,1996,female,0.979653770390444,2017
FALSE,registration,numerator,ALB,1996,female,1270.280502,2017
FALSE,registration,denominator,ALB,1996,female,1296.662699,2017
TRUE,registration,statistic,ALB,1999,male,1,2017
TRUE,registration,numerator,ALB,1999,male,0.168827,2017
TRUE,registration,denominator,ALB,1999,male,0.168827,2017
TRUE,registration,statistic,ALB,1999,female,1,2017
TRUE,registration,numerator,ALB,1999,female,0.168827,2017
TRUE,registration,denominator,ALB,1999,female,0.168827,2017
FALSE,registration,statistic,ALB,1999,male,0.988474427348084,2017
FALSE,registration,numerator,ALB,1999,male,1314.239458,2017
FALSE,registration,denominator,ALB,1999,male,1329.563438,2017
FALSE,registration,statistic,ALB,1999,female,0.979653770390444,2017
FALSE,registration,numerator,ALB,1999,female,1270.280502,2017
FALSE,registration,denominator,ALB,1999,female,1296.662699,2017
TRUE,registration,statistic,ALB,2002,male,1,2017
TRUE,registration,numerator,ALB,2002,male,0.168827,2017
TRUE,registration,denominator,ALB,2002,male,0.168827,2017
TRUE,registration,statistic,ALB,2002,female,1,2017
TRUE,registration,numerator,ALB,2002,female,0.168827,2017
TRUE,registration,denominator,ALB,2002,female,0.168827,2017
FALSE,registration,statistic,ALB,2002,male,0.988474427348084,2017
FALSE,registration,numerator,ALB,2002,male,1314.239458,2017
FALSE,registration,denominator,ALB,2002,male,1329.563438,2017
FALSE,registration,statistic,ALB,2002,female,0.979653770390444,2017
FALSE,registration,numerator,ALB,2002,female,1270.280502,2017
FALSE,registration,denominator,ALB,2002,female,1296.662699,2017
TRUE,registration,statistic,ALB,2005,male,1,2017
TRUE,registration,numerator,ALB,2005,male,0.168827,2017
TRUE,registration,denominator,ALB,2005,male,0.168827,2017
TRUE,registration,statistic,ALB,2005,female,1,2017
TRUE,registration,numerator,ALB,2005,female,0.168827,2017
TRUE,registration,denominator,ALB,2005,female,0.168827,2017
FALSE,registration,statistic,ALB,2005,male,0.988474427348084,2017
FALSE,registration,numerator,ALB,2005,male,1314.239458,2017
FALSE,registration,denominator,ALB,2005,male,1329.563438,2017
FALSE,registration,statistic,ALB,2005,female,0.979653770390444,2017
FALSE,registration,numerator,ALB,2005,female,1270.280502,2017
FALSE,registration,denominator,ALB,2005,female,1296.662699,2017
TRUE,registration,statistic,ALB,2008,male,1,2017
TRUE,registration,numerator,ALB,2008,male,0.168827,2017
TRUE,registration,denominator,ALB,2008,male,0.168827,2017
TRUE,registration,statistic,ALB,2008,female,1,2017
TRUE,registration,numerator,ALB,2008,female,0.168827,2017
TRUE,registration,denominator,ALB,2008,female,0.168827,2017
FALSE,registration,statistic,ALB,2008,male,0.988474427348084,2017
FALSE,registration,numerator,ALB,2008,male,1314.239458,2017
FALSE,registration,denominator,ALB,2008,male,1329.563438,2017
FALSE,registration,statistic,ALB,2008,female,0.979653770390444,2017
FALSE,registration,numerator,ALB,2008,female,1270.280502,2017
FALSE,registration,denominator,ALB,2008,female,1296.662699,2017
TRUE,registration,statistic,ALB,2010,male,1,2017
TRUE,registration,numerator,ALB,2010,male,0.168827,2017
TRUE,registration,denominator,ALB,2010,male,0.168827,2017
TRUE,registration,statistic,ALB,2010,female,1,2017
TRUE,registration,numerator,ALB,2010,female,0.168827,2017
TRUE,registration,denominator,ALB,2010,female,0.168827,2017
FALSE,registration,statistic,ALB,2010,male,0.988474427348084,2017
FALSE,registration,numerator,ALB,2010,male,1314.239458,2017
FALSE,registration,denominator,ALB,2010,male,1329.563438,2017
FALSE,registration,statistic,ALB,2010,female,0.979653770390444,2017
FALSE,registration,numerator,ALB,2010,female,1270.280502,2017
FALSE,registration,denominator,ALB,2010,female,1296.662699,2017
TRUE,registration,statistic,ALB,2011,male,1,2017
TRUE,registration,numerator,ALB,2011,male,0.337654,2017
TRUE,registration,denominator,ALB,2011,male,0.337654,2017
TRUE,registration,statistic,ALB,2011,female,1,2017
TRUE,registration,numerator,ALB,2011,female,0.337654,2017
TRUE,registration,denominator,ALB,2011,female,0.337654,2017
FALSE,registration,statistic,ALB,2011,male,0.988472963653378,2017
FALSE,registration,numerator,ALB,2011,male,1314.070631,2017
FALSE,registration,denominator,ALB,2011,male,1329.394611,2017
FALSE,registration,statistic,ALB,2011,female,0.979651120942591,2017
FALSE,registration,numerator,ALB,2011,female,1270.111675,2017
FALSE,registration,denominator,ALB,2011,female,1296.493872,2017
TRUE,registration,statistic,ALB,2012,male,1,2017
TRUE,registration,numerator,ALB,2012,male,0.337654,2017
TRUE,registration,denominator,ALB,2012,male,0.337654,2017
TRUE,registration,statistic,ALB,2012,female,1,2017
TRUE,registration,numerator,ALB,2012,female,0.337654,2017
TRUE,registration,denominator,ALB,2012,female,0.337654,2017
FALSE,registration,statistic,ALB,2012,male,0.988472963653378,2017
FALSE,registration,numerator,ALB,2012,male,1314.070631,2017
FALSE,registration,denominator,ALB,2012,male,1329.394611,2017
FALSE,registration,statistic,ALB,2012,female,0.979651120942591,2017
FALSE,registration,numerator,ALB,2012,female,1270.111675,2017
FALSE,registration,denominator,ALB,2012,female,1296.493872,2017
TRUE,registration,statistic,ALB,2013,male,1,2017
TRUE,registration,numerator,ALB,2013,male,0.337654,2017
TRUE,registration,denominator,ALB,2013,male,0.337654,2017
TRUE,registration,statistic,ALB,2013,female,1,2017
TRUE,registration,numerator,ALB,2013,female,0.337654,2017
TRUE,registration,denominator,ALB,2013,female,0.337654,2017
FALSE,registration,statistic,ALB,2013,male,0.988472963653378,2017
FALSE,registration,numerator,ALB,2013,male,1314.070631,2017
FALSE,registration,denominator,ALB,2013,male,1329.394611,2017
FALSE,registration,statistic,ALB,2013,female,0.979651120942591,2017
FALSE,registration,numerator,ALB,2013,female,1270.111675,2017
FALSE,registration,denominator,ALB,2013,female,1296.493872,2017
TRUE,registration,statistic,ALB,2015,male,1,2017
TRUE,registration,numerator,ALB,2015,male,0.337654,2017
TRUE,registration,denominator,ALB,2015,male,0.337654,2017
TRUE,registration,statistic,ALB,2015,female,1,2017
TRUE,registration,numerator,ALB,2015,female,0.337654,2017
TRUE,registration,denominator,ALB,2015,female,0.337654,2017
FALSE,registration,statistic,ALB,2015,male,0.988472963653378,2017
FALSE,registration,numerator,ALB,2015,male,1314.070631,2017
FALSE,registration,denominator,ALB,2015,male,1329.394611,2017
FALSE,registration,statistic,ALB,2015,female,0.979651120942591,2017
FALSE,registration,numerator,ALB,2015,female,1270.111675,2017
FALSE,registration,denominator,ALB,2015,female,1296.493872,2017
TRUE,registration,statistic,ARM,1990,male,1,2016
TRUE,registration,numerator,ARM,1990,male,1.292536,2016
TRUE,registration,denominator,ARM,1990,male,1.292536,2016
TRUE,registration,statistic,ARM,1990,female,1,2016
TRUE,registration,numerator,ARM,1990,female,0.646268,2016
TRUE,registration,denominator,ARM,1990,female,0.646268,2016
FALSE,registration,statistic,ARM,1990,male,0.807238095230706,2000
FALSE,registration,numerator,ARM,1990,male,6159.039502,2000
FALSE,registration,denominator,ARM,1990,male,7629.768142,2000
FALSE,registration,statistic,ARM,1990,female,0.794303839748388,2000
FALSE,registration,numerator,ARM,1990,female,7158.04379,2000
FALSE,registration,denominator,ARM,1990,female,9011.719989,2000
TRUE,registration,statistic,ARM,1993,male,0.323046602025754,2000
TRUE,registration,numerator,ARM,1993,male,3.52441,2000
TRUE,registration,denominator,ARM,1993,male,10.909912,2000
TRUE,registration,statistic,ARM,1993,female,0.453436262648765,2000
TRUE,registration,numerator,ARM,1993,female,7.067127,2000
TRUE,registration,denominator,ARM,1993,female,15.585712,2000
FALSE,registration,statistic,ARM,1993,male,0.807931438829254,2000
FALSE,registration,numerator,ARM,1993,male,6155.515092,2000
FALSE,registration,denominator,ARM,1993,male,7618.85823,2000
FALSE,registration,statistic,ARM,1993,female,0.794894389391516,2000
FALSE,registration,numerator,ARM,1993,female,7150.976663,2000
FALSE,registration,denominator,ARM,1993,female,8996.134277,2000
TRUE,registration,statistic,ARM,1996,male,0.154993946439596,2000
TRUE,registration,numerator,ARM,1996,male,1.142056,2000
TRUE,registration,denominator,ARM,1996,male,7.368391,2000
