variable,type,sex,value,iso3,survey_year,region
registration,statistic,male,0.704373857276207,AFG,2016,kabul
registration,numerator,male,1311.43058,AFG,2016,kabul
registration,denominator,male,1861.838804,AFG,2016,kabul
registration,statistic,female,0.721878881175922,AFG,2016,kabul
registration,numerator,female,1355.671984,AFG,2016,kabul
registration,denominator,female,1877.977067,AFG,2016,kabul
registration,statistic,male,0.744635956897179,AFG,2016,kapisa
registration,numerator,male,77.772568,AFG,2016,kapisa
registration,denominator,male,104.443745,AFG,2016,kapisa
registration,statistic,female,0.73449991609026,AFG,2016,kapisa
registration,numerator,female,67.40596,AFG,2016,kapisa
registration,denominator,female,91.771229,AFG,2016,kapisa
registration,statistic,male,0.673346224732419,AFG,2016,parwan
registration,numerator,male,205.062948,AFG,2016,parwan
registration,denominator,male,304.543102,AFG,2016,parwan
registration,statistic,female,0.685472473071644,AFG,2016,parwan
registration,numerator,female,199.128292,AFG,2016,parwan
registration,denominator,female,290.497868,AFG,2016,parwan
registration,statistic,male,0.513192003822485,AFG,2016,wardak
registration,numerator,male,96.630035,AFG,2016,wardak
registration,denominator,male,188.292168,AFG,2016,wardak
registration,statistic,female,0.470296794965411,AFG,2016,wardak
registration,numerator,female,76.182607,AFG,2016,wardak
registration,denominator,female,161.988361,AFG,2016,wardak
registration,statistic,male,0.267196896397232,AFG,2016,logar
registration,numerator,male,65.954425,AFG,2016,logar
registration,denominator,male,246.83829,AFG,2016,logar
registration,statistic,female,0.282013854758718,AFG,2016,logar
registration,numerator,female,49.298468,AFG,2016,logar
registration,denominator,female,174.808674,AFG,2016,logar
registration,statistic,male,0.295137176175213,AFG,2016,takhar
registration,numerator,male,179.5852,AFG,2016,takhar
registration,denominator,male,608.480444,AFG,2016,takhar
registration,statistic,female,0.279901403394963,AFG,2016,takhar
registration,numerator,female,157.07597,AFG,2016,takhar
registration,denominator,female,561.183217,AFG,2016,takhar
registration,statistic,male,0.454473292054752,AFG,2016,nangarhar
registration,numerator,male,238.771165,AFG,2016,nangarhar
registration,denominator,male,525.379971,AFG,2016,nangarhar
registration,statistic,female,0.457492328683789,AFG,2016,nangarhar
registration,numerator,female,214.409902,AFG,2016,nangarhar
registration,denominator,female,468.663382,AFG,2016,nangarhar
registration,statistic,male,0.0551797085405301,AFG,2016,laghman
registration,numerator,male,20.968937,AFG,2016,laghman
registration,denominator,male,380.011739,AFG,2016,laghman
registration,statistic,female,0.047668203219448,AFG,2016,laghman
registration,numerator,female,18.746295,AFG,2016,laghman
registration,denominator,female,393.266239,AFG,2016,laghman
registration,statistic,male,0.424705114357121,AFG,2016,balkh
registration,numerator,male,416.796209,AFG,2016,balkh
registration,denominator,male,981.37789,AFG,2016,balkh
registration,statistic,female,0.389990239897151,AFG,2016,balkh
registration,numerator,female,376.877242,AFG,2016,balkh
registration,denominator,female,966.376087,AFG,2016,balkh
registration,statistic,male,0.531110477891088,AFG,2016,sar-e-pul
registration,numerator,male,169.232758,AFG,2016,sar-e-pul
registration,denominator,male,318.639464,AFG,2016,sar-e-pul
registration,statistic,female,0.527797106672323,AFG,2016,sar-e-pul
registration,numerator,female,153.850263,AFG,2016,sar-e-pul
registration,denominator,female,291.495086,AFG,2016,sar-e-pul
registration,statistic,male,0.655746678919862,AFG,2016,panjsher
registration,numerator,male,10.908066,AFG,2016,panjsher
registration,denominator,male,16.634573,AFG,2016,panjsher
registration,statistic,female,0.647260859318601,AFG,2016,panjsher
registration,numerator,female,12.954985,AFG,2016,panjsher
registration,denominator,female,20.015091,AFG,2016,panjsher
registration,statistic,male,0.169555999338827,AFG,2016,baghlan
registration,numerator,male,62.891167,AFG,2016,baghlan
registration,denominator,male,370.91679,AFG,2016,baghlan
registration,statistic,female,0.162150740123848,AFG,2016,baghlan
registration,numerator,female,60.561821,AFG,2016,baghlan
registration,denominator,female,373.49087,AFG,2016,baghlan
registration,statistic,male,0.358662064527027,AFG,2016,ghor
registration,numerator,male,166.019284,AFG,2016,ghor
registration,denominator,male,462.884984,AFG,2016,ghor
registration,statistic,female,0.307488236766043,AFG,2016,ghor
registration,numerator,female,123.559428,AFG,2016,ghor
registration,denominator,female,401.83465,AFG,2016,ghor
registration,statistic,male,0.643180652655955,AFG,2016,bamyan
registration,numerator,male,111.451069,AFG,2016,bamyan
registration,denominator,male,173.281128,AFG,2016,bamyan
registration,statistic,female,0.607211165995027,AFG,2016,bamyan
registration,numerator,female,102.729647,AFG,2016,bamyan
registration,denominator,female,169.182737,AFG,2016,bamyan
registration,statistic,male,0.22840428831364,AFG,2016,ghazni
registration,numerator,male,93.93903,AFG,2016,ghazni
registration,denominator,male,411.284003,AFG,2016,ghazni
registration,statistic,female,0.309416015329921,AFG,2016,ghazni
registration,numerator,female,102.904751,AFG,2016,ghazni
registration,denominator,female,332.577326,AFG,2016,ghazni
registration,statistic,male,0.258891704304966,AFG,2016,paktika
registration,numerator,male,133.458031,AFG,2016,paktika
registration,denominator,male,515.497518,AFG,2016,paktika
registration,statistic,female,0.253330958185736,AFG,2016,paktika
registration,numerator,female,83.822627,AFG,2016,paktika
registration,denominator,female,330.881893,AFG,2016,paktika
registration,statistic,male,0.281190011535388,AFG,2016,daykundi
registration,numerator,male,45.877648,AFG,2016,daykundi
registration,denominator,male,163.155326,AFG,2016,daykundi
registration,statistic,female,0.250897352319578,AFG,2016,daykundi
registration,numerator,female,42.316084,AFG,2016,daykundi
registration,denominator,female,168.65895,AFG,2016,daykundi
registration,statistic,male,0.0581330532118662,AFG,2016,urozgan
registration,numerator,male,9.073125,AFG,2016,urozgan
registration,denominator,male,156.07515,AFG,2016,urozgan
registration,statistic,female,0.0471690107518874,AFG,2016,urozgan
registration,numerator,female,10.470972,AFG,2016,urozgan
registration,denominator,female,221.988374,AFG,2016,urozgan
registration,statistic,male,0.717892508031567,AFG,2016,paktya
registration,numerator,male,207.192259,AFG,2016,paktya
registration,denominator,male,288.611814,AFG,2016,paktya
registration,statistic,female,0.732625940867594,AFG,2016,paktya
registration,numerator,female,225.178789,AFG,2016,paktya
registration,denominator,female,307.358471,AFG,2016,paktya
registration,statistic,male,0.389882879734338,AFG,2016,jawzjan
